system,user,
42.9,57.1,
1.3,2.9,
1.0,3.8,
1.9,2.3,
1.9,3.8,
1.3,2.6,
1.3,2.9,
1.0,3.2,
1.9,1.9,
1.6,2.6,
1.6,2.6,
1.9,2.6,
1.6,2.3,
1.9,2.3,
1.9,5.9,
1.3,4.2,
1.3,3.2,
1.3,4.8,
3.8,21.8,
4.5,23.8,
4.5,18.8,
5.2,27.2,
3.9,17.9,
5.8,20.8,
6.2,21.0,
6.3,20.4,
4.7,19.8,
5.2,20.7,
5.8,20.8,
5.9,20.5,
5.9,20.3,
6.7,20.8,
6.8,21.2,
5.9,19.5,
4.7,20.2,
6.9,19.1,
4.7,20.3,
5.9,19.3,
5.1,17.4,
5.0,14.6,
5.9,24.5,
4.6,25.8,
5.5,17.1,
5.0,13.6,
5.2,26.4,
5.0,24.6,
5.2,17.0,
4.9,15.2,
6.6,25.4,
4.3,26.5,
3.8,18.5,
4.5,17.9,
6.0,22.2,
3.8,22.4,
5.4,14.1,
4.7,14.5,
6.1,28.1,
4.9,26.4,
5.0,20.0,
4.3,14.1,
4.9,21.8,
2.9,24.8,
5.1,19.2,
5.2,16.8,
5.8,24.8,
4.3,27.8,
5.6,20.9,
5.2,16.7,
4.8,21.9,
4.3,25.7,
3.8,17.8,
4.9,15.5,
6.5,20.1,
4.6,26.2,
4.4,20.6,
4.5,18.1,
4.2,23.6,
5.1,27.8,
4.6,20.9,
4.2,23.4,
6.2,23.7,
5.4,27.7,
4.0,21.5,
5.5,17.7,
4.5,28.1,
6.7,25.4,
4.2,18.1,
5.9,16.0,
5.8,25.2,
5.9,25.4,
3.8,18.3,
4.2,16.9,
6.9,22.3,
3.8,24.0,
2.5,17.2,
3.7,20.0,
5.3,29.5,
5.5,26.3,
5.4,19.7,
3.5,16.6,
7.2,25.0,
4.6,25.8,
5.7,14.2,
3.3,14.4,
7.1,21.2,
5.2,26.7,
4.6,15.7,
5.3,14.9,
5.7,23.3,
4.7,25.0,
3.3,14.9,
4.5,18.8,
5.3,25.2,
5.8,25.6,
5.2,16.9,
3.9,17.0,
6.0,23.5,
4.5,24.6,
4.0,13.6,
5.1,18.3,
5.3,23.7,
5.3,24.5,
2.8,17.0,
3.7,14.3,
5.5,25.8,
6.5,24.9,
5.2,13.3,
5.6,17.0,
4.8,31.8,
5.1,24.2,
4.4,13.9,
5.5,16.8,
6.5,24.7,
5.6,25.4,
3.6,14.5,
4.6,16.7,
6.0,26.9,
5.9,24.2,
3.6,15.8,
5.0,14.0,
5.0,25.0,
6.1,24.8,
3.9,15.3,
4.2,16.8,
5.6,27.6,
5.4,24.2,
5.1,17.7,
5.8,17.5,
2.9,31.3,
5.6,24.2,
4.7,15.1,
4.1,20.0,
5.2,25.8,
4.5,23.3,
4.6,16.3,
5.2,18.1,
5.8,26.2,
6.0,23.2,
2.4,12.2,
1.6,2.9,
1.0,2.9,
1.3,3.2,
1.3,2.9,
